vb,ヴブ
wjm,ウジャム
zh,ズフ
fpg,フプグ
spd,スプド
bqb,ブクブ
lv,ルヴ
gyp,グイプ
ph,プフ
ntk,ントク
nx,ンクス
rjn,ルジャン
qn,クン
lyw,ルイウ
yg,イグ
yz,イズ
hnz,フンズ
rmt,ルムト
zpy,ズプイ
lj,ルジャ
hz,フズ
zmk,ズムク
cvs,クヴス
mcz,ムクズ
lcb,ルクブ
vm,ヴム
hnr,フンル
xg,クスグ
ffs,フフス
kf,クフ
fbf,フブフ
kmh,クムフ
qlq,クルク
sn,スン
xf,クスフ
nws,ンウス
xln,クスルン
vyb,ヴイブ
lnn,ルンン
yv,イヴ
ghr,グフル
wyb,ウイブ
tk,トク
xb,クスブ
pl,プル
snr,スンル
vt,ヴト
cgl,クグル
kk,クク
thm,トフム
cn,クン
hkp,フクプ
srb,スルブ
slq,スルク
fmv,フムヴ
th,トフ
tvt,トヴト
dyj,ドイジャ
tb,トブ
gjt,グジャト
tyg,トイグ
nkm,ンクム
vl,ヴル
slj,スルジャ
rn,ルン
fmt,フムト
bg,ブグ
nr,ンル
twx,トウクス
dz,ドズ
pp,ププ
crd,クルド
lf,ルフ
wtb,ウトブ
bc,ブク
pjn,プジャン
rj,ルジャ
pjv,プジャヴ
chq,クフク
yt,イト
kmz,クムズ
pfv,プフヴ
jhp,ジャフプ
hts,フトス
bf,ブフ
msr,ムスル
zz,ズズ
cv,クヴ
gtt,グトト
hm,フム
wp,ウプ
df,ドフ
xwx,クスウクス
bly,ブルイ
bl,ブル
nm,ンム
ktm,クトム
hm,フム
wb,ウブ
ty,トイ
frb,フルブ
hk,フク
ks,クス
cp,クプ
zvb,ズヴブ
tmt,トムト
lqy,ルクイ
nc,ンク
hp,フプ
fcj,フクジャ
yh,イフ
sdz,スドズ
mzg,ムズグ
jwg,ジャウグ
kvy,クヴイ
jg,ジャグ
tpd,トプド
slf,スルフ
ps,プス
xt,クスト
sx,スクス
hr,フル
gn,グン
cs,クス
dfy,ドフイ
qj,クジャ
cy,クイ
bb,ブブ
kd,クド
ql,クル
jst,ジャスト
lds,ルドス
xvl,クスヴル
xwg,クスウグ
vdq,ヴドク
ryc,ルイク
xd,クスド
hcr,フクル
qk,クク
hm,フム
zp,ズプ
rvs,ルヴス
vc,ヴク
zh,ズフ
dcx,ドククス
kh,クフ
szg,スズグ
jmp,ジャムプ
sn,スン
nyb,ンイブ
xc,クスク
jn,ジャン
wx,ウクス
sqs,スクス
dmp,ドムプ
mg,ムグ
nt,ント
dtz,ドトズ
vdb,ヴドブ
hf,フフ
dp,ドプ
lbc,ルブク
kbf,クブフ
njx,ンジャクス
fcn,フクン
tj,トジャ
xf,クスフ
vjb,ヴジャブ
hgr,フグル
chc,クフク
djf,ドジャフ
mml,ムムル
zdq,ズドク
lfj,ルフジャ
nwm,ンウム
lt,ルト
gf,グフ
hhp,フフプ
bqt,ブクト
zf,ズフ
wm,ウム
wy,ウイ
xqr,クスクル
hkf,フクフ
zg,ズグ
sf,スフ
px,プクス
lx,ルクス
psp,プスプ
dtm,ドトム
vd,ヴド
tqh,トクフ
yh,イフ
cvg,クヴグ
pt,プト
ssn,ススン
kjr,クジャル
dkj,ドクジャ
zk,ズク
pb,プブ
kmd,クムド
yl,イル
gg,ググ
swz,スウズ
kpv,クプヴ
wg,ウグ
zpq,ズプク
yfk,イフク
qt,クト
phh,プフフ
kb,クブ
tn,トン
